Qubit,Frequency,T1,T2,ReadoutError,SQError,TQError,Gate time (ns),Operational
28,4.701221132,304.1208756,40.5607948,0.0057,0.0003427382447,28_35:0.013471808488056902;28_29:0.004924443750282004,28_35:660;28_29:660,TRUE
29,4.744292074,387.4889953,281.9572743,0.0057,0.0001123038895,,,TRUE
30,4.922261234,262.7551693,126.8366234,0.0592,0.0001586773179,30_29:0.004843832476151916,30_29:660,TRUE
31,4.839772103,196.1445903,157.0687814,0.0076,0.0003258919287,31_30:0.009069052661180077;31_32:0.006547522085804586,31_30:660;31_32:660,TRUE
32,4.665066509,465.2639188,167.7531421,0.0111,0.0001119947223,,,TRUE
33,4.823148841,31.24275088,14.38417159,0.0353,0.001453185675,33_20:0.01782037513232304,33_20:660,TRUE
34,4.80464453,403.9219278,240.7848623,0.0138,0.0001602220535,,,TRUE
35,4.865287187,93.57905274,70.4157408,0.035,0.00185399627,35_47:0.016539294647091585,35_47:660,TRUE
36,4.730340002,408.5021192,228.9129574,0.0105,0.0001256239314,36_32:0.0034958058671989423,36_32:660,TRUE
37,4.936345327,237.0723563,61.45769678,0.0122,0.0001428978184,37_52:0.009884954934507528;37_38:0.0062349551975149076,37_52:660;37_38:660,TRUE
38,4.812950715,353.6925915,245.413943,0.0437,0.0001622558481,,,TRUE
39,4.69973374,331.7599195,165.5563553,0.012,0.0001174533013,39_33:0.027686414630405304;39_38:0.0067235554821324095,39_33:660;39_38:660,TRUE
40,4.892172887,75.97317348,7.684050795,0.013,0.004134548755,40_41:0.013982381343407346;40_39:0.06594081216977357,40_41:660;40_39:660,TRUE
41,4.993941385,174.6472476,97.59448985,0.0098,0.0002128845973,,,TRUE
42,4.789288377,205.4520204,7.320782149,0.004,0.0003763773028,42_41:0.007019077780439836;42_43:0.011658857439793086,42_41:660;42_43:660,TRUE
43,4.930804086,351.3583191,236.0211161,0.0198,0.0001554078289,43_34:0.0033456039849051322;43_44:0.013489328996516253,43_34:660;43_44:660,TRUE
44,4.826610372,453.5513546,24.87059337,0.0263,0.0001732738109,,,TRUE
45,4.924028747,277.958303,386.1697224,0.0293,0.0003552141582,45_54:0.011183679496705345;45_46:0.007261912334190934;45_44:0.02170570598361618,45_54:660;45_46:660;45_44:660,TRUE
46,4.853326311,369.6846275,244.7648211,0.1656,0.0001961352294,46_47:0.015499556228866701,46_47:660,TRUE
47,4.797717479,180.7138716,30.06484239,0.0268,0.000439647472,,,TRUE
48,4.873754539,412.8148608,247.0831493,0.0237,0.0003555589567,48_47:0.009790023276591286;48_49:0.008307474535480808,48_47:660;48_49:660,TRUE
49,4.842891866,197.8236629,66.21030015,0.0079,0.0002480541483,49_50:0.0068267410283420205,49_50:660,TRUE
50,5.003766905,232.3491936,317.367373,0.0121,0.0001474891107,50_51:0.0056690029391022745,50_51:660,TRUE
51,4.932000419,181.7729926,42.08687615,0.0299,0.0002512971026,51_36:0.0050205690782907375,51_36:660,TRUE
52,4.977914426,276.902764,57.97258106,0.016,0.0003693677998,52_56:0.012713414082356739,52_56:660,TRUE
53,4.848810222,443.9072652,10.66472642,0.0514,0.0002786409163,53_41:0.005644892711226174,53_41:660,TRUE
54,4.878332722,427.6304168,111.488663,0.0119,0.0006826204195,,,TRUE
55,4.907318563,363.3709466,114.5393409,0.014,0.000337985619,55_49:0.004795336974555281,55_49:660,TRUE
56,5.1159179,94.11397582,60.32252247,0.0228,0.000370221107,,,TRUE
57,4.969361107,250.6119124,141.2900545,0.0075,0.0002127789002,57_56:0.007684727675474234;57_58:0.005500630098384307,57_56:660;57_58:660,TRUE
58,4.73721673,369.979547,281.4538405,0.0869,0.0001476057316,58_71:0.004548641713300744,58_71:660,TRUE
59,4.90152315,422.4388739,274.9767307,0.0621,0.0001419047472,59_58:0.006921940319739306;59_60:0.005957198418282045,59_58:660;59_60:660,TRUE
60,4.937706727,260.8308655,265.0226968,0.1486,0.0004406304448,60_53:0.00533347112878077,60_53:660,TRUE
61,4.864176158,323.8517872,245.9536484,0.305,0.005875749237,61_60:1;61_62:1,61_60:660;61_62:660,TRUE
62,4.650876237,333.850901,231.0819654,0.0176,0.000129401139,62_72:0.0045225385325327605,62_72:660,TRUE
63,4.882153228,433.0177596,191.8772968,0.0062,0.000372011907,63_62:0.011118620682368463,63_62:660,TRUE
64,4.956185648,144.1682207,138.0149114,0.0066,0.0002479325329,64_54:0.2030822072256855;64_63:0.016221321751439727,64_54:428;64_63:660,TRUE
65,4.761276604,368.4483809,214.7613881,0.0152,0.0001564517991,65_64:0.01407141228984557,65_64:660,TRUE
66,4.946760978,262.7496564,21.78892215,0.052,0.0008715007336,66_73:0.0192284483552759;66_65:0.017529342598977427,66_73:660;66_65:660,TRUE
67,5.042703996,346.4059876,102.5301829,0.0499,0.0003225192102,67_66:0.01428944469645213,67_66:660,TRUE
68,5.128357783,166.8521451,176.4824096,0.0637,0.0001927530357,68_67:0.00587770300745874;68_69:0.005730695565050986;68_55:0.006400313076238118,68_67:660;68_69:660;68_55:660,TRUE
69,5.073661628,223.950615,244.737872,0.0069,0.00033516603,69_70:0.004893825019651965,69_70:660,TRUE
70,4.87544999,328.444132,61.56376492,0.091,0.0002516965037,,,TRUE
71,4.826618011,461.6416065,307.3936765,0.0213,0.0001370418772,71_77:0.006320680984116672,71_77:660,TRUE
72,4.828041077,401.7785228,251.4806998,0.0287,0.0002192830003,,,TRUE
